id_historial,id_mascota,id_cita,fecha_registro,descripcion
1,70,28,2025-03-11,Registro clinico numero 1
2,76,63,2024-08-27,Registro clinico numero 2
3,85,40,2024-07-04,Registro clinico numero 3
4,50,57,2024-11-02,Registro clinico numero 4
5,87,4,2024-10-28,Registro clinico numero 5
6,57,44,2023-08-26,Registro clinico numero 6
7,17,60,2023-11-19,Registro clinico numero 7
8,14,51,2025-01-07,Registro clinico numero 8
9,33,54,2025-03-08,Registro clinico numero 9
10,72,13,2024-07-26,Registro clinico numero 10
11,30,20,2025-03-07,Registro clinico numero 11
12,94,96,2025-01-04,Registro clinico numero 12
13,36,51,2025-03-21,Registro clinico numero 13
14,72,81,2024-10-13,Registro clinico numero 14
15,1,94,2024-08-20,Registro clinico numero 15
16,69,80,2024-01-28,Registro clinico numero 16
17,17,26,2024-09-14,Registro clinico numero 17
18,79,24,2025-04-22,Registro clinico numero 18
19,4,19,2024-11-19,Registro clinico numero 19
20,47,12,2025-02-09,Registro clinico numero 20
21,87,51,2024-10-24,Registro clinico numero 21
22,15,2,2024-01-28,Registro clinico numero 22
23,46,25,2023-10-05,Registro clinico numero 23
24,57,85,2023-08-16,Registro clinico numero 24
25,93,67,2024-05-01,Registro clinico numero 25
26,24,72,2025-02-14,Registro clinico numero 26
27,73,43,2023-09-11,Registro clinico numero 27
28,37,95,2024-07-14,Registro clinico numero 28
29,46,42,2023-10-05,Registro clinico numero 29
30,44,84,2024-12-27,Registro clinico numero 30
31,12,63,2024-04-30,Registro clinico numero 31
32,77,70,2023-12-06,Registro clinico numero 32
33,32,94,2024-05-15,Registro clinico numero 33
34,14,41,2023-10-29,Registro clinico numero 34
35,48,59,2025-06-28,Registro clinico numero 35
36,37,19,2025-05-28,Registro clinico numero 36
37,80,35,2023-12-09,Registro clinico numero 37
38,39,27,2023-08-26,Registro clinico numero 38
39,3,36,2024-10-23,Registro clinico numero 39
40,74,85,2024-11-12,Registro clinico numero 40
41,76,25,2023-08-26,Registro clinico numero 41
42,91,29,2024-10-23,Registro clinico numero 42
43,34,88,2024-11-22,Registro clinico numero 43
44,93,69,2025-03-05,Registro clinico numero 44
45,18,59,2023-12-08,Registro clinico numero 45
46,4,86,2025-02-14,Registro clinico numero 46
47,7,18,2024-10-31,Registro clinico numero 47
48,48,71,2024-09-26,Registro clinico numero 48
49,26,10,2025-02-04,Registro clinico numero 49
50,17,60,2024-08-09,Registro clinico numero 50
51,10,92,2024-09-04,Registro clinico numero 51
52,19,79,2023-09-20,Registro clinico numero 52
53,72,23,2024-04-17,Registro clinico numero 53
54,30,57,2024-03-17,Registro clinico numero 54
55,39,21,2025-05-15,Registro clinico numero 55
56,42,25,2024-10-19,Registro clinico numero 56
57,62,10,2024-11-24,Registro clinico numero 57
58,72,40,2023-08-03,Registro clinico numero 58
59,12,61,2025-06-30,Registro clinico numero 59
60,73,8,2025-01-09,Registro clinico numero 60
61,13,39,2024-03-12,Registro clinico numero 61
62,30,4,2025-01-16,Registro clinico numero 62
63,70,1,2024-05-17,Registro clinico numero 63
64,2,60,2024-03-25,Registro clinico numero 64
65,53,75,2024-02-22,Registro clinico numero 65
66,34,48,2023-08-29,Registro clinico numero 66
67,23,56,2023-11-06,Registro clinico numero 67
68,76,46,2023-09-24,Registro clinico numero 68
69,92,1,2024-08-06,Registro clinico numero 69
70,67,41,2025-01-25,Registro clinico numero 70
71,85,91,2025-04-10,Registro clinico numero 71
72,1,86,2023-10-25,Registro clinico numero 72
73,57,21,2025-05-12,Registro clinico numero 73
74,83,93,2025-01-17,Registro clinico numero 74
75,11,80,2024-11-02,Registro clinico numero 75
76,77,98,2024-09-25,Registro clinico numero 76
77,38,45,2023-10-07,Registro clinico numero 77
78,12,83,2024-07-30,Registro clinico numero 78
79,49,5,2025-05-29,Registro clinico numero 79
80,61,40,2025-06-05,Registro clinico numero 80
81,60,3,2024-07-16,Registro clinico numero 81
82,46,28,2024-12-27,Registro clinico numero 82
83,42,70,2025-03-24,Registro clinico numero 83
84,1,29,2025-02-13,Registro clinico numero 84
85,29,48,2024-05-19,Registro clinico numero 85
86,82,94,2024-06-15,Registro clinico numero 86
87,26,74,2023-07-16,Registro clinico numero 87
88,55,55,2023-10-14,Registro clinico numero 88
89,22,33,2023-09-10,Registro clinico numero 89
90,53,48,2024-10-26,Registro clinico numero 90
91,25,70,2025-03-08,Registro clinico numero 91
92,81,79,2024-01-05,Registro clinico numero 92
93,30,4,2024-10-06,Registro clinico numero 93
94,22,6,2024-05-28,Registro clinico numero 94
95,34,28,2025-03-29,Registro clinico numero 95
96,88,15,2025-06-02,Registro clinico numero 96
97,68,96,2025-05-13,Registro clinico numero 97
98,11,39,2024-08-05,Registro clinico numero 98
99,23,7,2025-03-09,Registro clinico numero 99
100,33,25,2023-11-08,Registro clinico numero 100
